a,58.67,4.46,u,g,q,h,3.04,t,t,06,f,g,00043,560,+
a,22.92,11.585,u,g,cc,v,0.04,t,f,0,f,g,00080,1349,+
b,42.50,4.915,y,p,w,v,3.165,t,f,0,t,g,00052,1442,+
a,47.75,8,u,g,c,v,7.875,t,t,06,t,g,00000,1260,+
b,28.92,15,u,g,c,h,5.335,t,t,11,f,g,00000,2283,+
a,38.58,5,u,g,cc,v,13.5,t,f,0,t,g,00980,0,-
b,25.67,2.21,y,p,aa,v,4,t,f,0,f,g,00188,0,-
b,27.83,4,y,p,i,h,5.75,t,t,02,t,g,00075,0,-
b,40.92,2.25,y,p,x,h,10,t,f,0,t,g,00176,0,-
b,48.58,6.5,u,g,q,h,6,t,f,0,t,g,00350,0,+
a,28.50,3.04,y,p,x,h,2.54,t,t,01,f,g,00070,0,+
b,25.08,1.71,u,g,x,v,1.665,t,t,01,t,g,00395,20,+
b,41.33,0,u,g,c,bb,15,t,f,0,f,g,00000,0,+
b,56.00,12.5,u,g,k,h,8,t,f,0,t,g,00024,2028,+
b,34.50,4.04,y,p,i,bb,8.5,t,t,07,t,g,00195,0,+
b,23.08,11.5,u,g,i,v,3.5,t,t,09,f,g,00056,742,+
b,18.50,2,u,g,i,v,1.5,t,t,02,f,g,00120,300,+
?,24.50,12.75,u,g,c,bb,4.75,t,t,02,f,g,00073,444,+
b,21.83,11,u,g,x,v,0.29,t,t,06,f,g,00121,0,+
b,38.25,10.125,y,p,k,v,0.125,f,f,0,f,g,00160,0,-
a,19.17,5.415,u,g,i,h,0.29,f,f,0,f,g,00080,484,-
b,24.58,13.5,y,p,ff,ff,0,f,f,0,f,g,?,0,-
b,25.42,0.54,u,g,w,v,0.165,f,t,01,f,g,00272,444,-
b,18.58,10.29,u,g,ff,ff,0.415,f,f,0,f,g,00080,0,-
a,24.83,4.5,u,g,w,v,1,f,f,0,t,g,00360,6,-
b,16.25,0,y,p,aa,v,0.25,f,f,0,f,g,00060,0,-
b,17.50,22,l,gg,ff,o,0,f,f,0,t,p,00450,100000,+
b,48.58,0.205,y,p,k,v,0.25,t,t,11,f,g,00380,2732,+
b,33.67,1.25,u,g,w,v,1.165,f,f,0,f,g,00120,0,-
?,40.83,3.5,u,g,i,bb,0.5,f,f,0,f,s,01160,0,-
b,47.33,6.5,u,g,c,v,1,f,f,0,t,g,00000,228,-
a,33.25,3,y,p,aa,v,2,f,f,0,f,g,00180,0,-
b,28.00,3,u,g,w,v,0.75,f,f,0,t,g,00300,67,-
b,33.75,2.75,u,g,i,bb,0,f,f,0,f,g,00180,0,-
b,38.92,1.75,u,g,k,v,0.5,f,f,0,t,g,00300,2,-
b,22.17,0.585,y,p,ff,ff,0,f,f,0,f,g,00100,0,-
b,32.42,3,u,g,d,v,0.165,f,f,0,t,g,00120,0,-
b,42.83,1.25,u,g,m,v,13.875,f,t,01,t,g,00352,112,-
a,56.83,4.25,y,p,ff,ff,5,f,f,0,t,g,00000,4,-
a,33.08,1.625,u,g,d,v,0.54,f,f,0,t,g,00000,0,-
b,22.50,0.125,y,p,k,v,0.125,f,f,0,f,g,00200,70,-
b,19.58,0.585,u,g,ff,ff,0,f,t,03,f,g,00350,769,-
a,27.17,1.25,u,g,ff,ff,0,f,t,01,f,g,00092,300,-
b,39.50,1.625,u,g,c,v,1.5,f,f,0,f,g,00000,316,-
a,36.58,0.29,u,g,ff,ff,0,f,t,10,f,g,00200,18,-
b,26.75,2,u,g,d,v,0.75,f,f,0,t,g,00080,0,-
b,39.17,2.5,y,p,i,h,10,f,f,0,t,s,00200,0,-
a,17.33,9.5,u,g,aa,v,1.75,f,t,10,t,g,00000,10,-
b,23.75,0.415,y,p,c,v,0.04,f,t,02,f,g,00128,6,-
b,28.17,0.125,y,p,k,v,0.085,f,f,0,f,g,00216,2100,-
a,47.25,0.75,u,g,q,h,2.75,t,t,01,f,g,00333,892,+
a,18.83,4.415,y,p,c,h,3,t,f,0,f,g,00240,0,+
a,25.00,0.875,u,g,x,h,1.04,t,f,0,t,g,00160,5860,+
b,20.17,9.25,u,g,c,v,1.665,t,t,03,t,g,00040,28,+
a,28.75,3.75,u,g,c,v,1.085,t,t,01,t,g,00371,0,+
a,18.92,9,u,g,aa,v,0.75,t,t,02,f,g,00088,591,+
b,41.58,1.75,u,g,k,v,0.21,t,f,0,f,g,00160,0,-
a,20.83,3,u,g,aa,v,0.04,t,f,0,f,g,00100,0,+
b,39.17,1.625,u,g,c,v,1.5,t,t,10,f,g,00186,4700,+
b,27.00,0.75,u,g,c,h,4.25,t,t,03,t,g,00312,150,+
